FEEDBACK CONTROLLER - simulation 

TIME, SETPOINT, STATE, CONTROL SIGNAL 
0, 1, 0, 2.005
0.01, 1, 0.02005, 1.7693
0.02, 1, 0.0375425, 1.7647
0.03, 1, 0.0548141, 1.73709
0.04, 1, 0.0716369, 1.71258
0.05, 1, 0.0880463, 1.68845
0.06, 1, 0.10405, 1.66498
0.07, 1, 0.11966, 1.64211
0.08, 1, 0.134884, 1.61983
0.09, 1, 0.149734, 1.59814
0.1, 1, 0.164218, 1.577
0.11, 1, 0.178345, 1.55642
0.12, 1, 0.192126, 1.53637
0.13, 1, 0.205569, 1.51684
0.14, 1, 0.218681, 1.49781
0.15, 1, 0.231473, 1.47929
0.16, 1, 0.243951, 1.46124
0.17, 1, 0.256124, 1.44367
0.18, 1, 0.267999, 1.42655
0.19, 1, 0.279585, 1.40988
0.2, 1, 0.290888, 1.39365
0.21, 1, 0.301915, 1.37784
0.22, 1, 0.312674, 1.36244
0.23, 1, 0.323172, 1.34744
0.24, 1, 0.333415, 1.33284
0.25, 1, 0.343409, 1.31862
0.26, 1, 0.353161, 1.30477
0.27, 1, 0.362677, 1.29129
0.28, 1, 0.371963, 1.27815
0.29, 1, 0.381025, 1.26537
0.3, 1, 0.389869, 1.25292
0.31, 1, 0.398499, 1.24079
0.32, 1, 0.406922, 1.22899
0.33, 1, 0.415143, 1.21749
0.34, 1, 0.423166, 1.2063
0.35, 1, 0.430998, 1.1954
0.36, 1, 0.438642, 1.1848
0.37, 1, 0.446103, 1.17447
0.38, 1, 0.453387, 1.16441
0.39, 1, 0.460497, 1.15462
0.4, 1, 0.467438, 1.14509
0.41, 1, 0.474215, 1.13582
0.42, 1, 0.480831, 1.12679
0.43, 1, 0.48729, 1.11799
0.44, 1, 0.493597, 1.10944
0.45, 1, 0.499756, 1.10111
0.46, 1, 0.505769, 1.093
0.47, 1, 0.511642, 1.08511
0.48, 1, 0.517376, 1.07743
0.49, 1, 0.522977, 1.06996
0.5, 1, 0.528447, 1.06268
0.51, 1, 0.533789, 1.0556
0.52, 1, 0.539007, 1.04871
0.53, 1, 0.544104, 1.04201
0.54, 1, 0.549083, 1.03549
0.55, 1, 0.553947, 1.02914
0.56, 1, 0.558699, 1.02296
0.57, 1, 0.563342, 1.01695
0.58, 1, 0.567878, 1.01111
0.59, 1, 0.57231, 1.00542
0.6, 1, 0.576641, 0.999886
0.61, 1, 0.580874, 0.994503
0.62, 1, 0.58501, 0.989267
0.63, 1, 0.589053, 0.984174
0.64, 1, 0.593004, 0.97922
0.65, 1, 0.596866, 0.974402
0.66, 1, 0.600641, 0.969716
0.67, 1, 0.604332, 0.965159
0.68, 1, 0.60794, 0.960727
0.69, 1, 0.611468, 0.956418
0.7, 1, 0.614918, 0.952228
0.71, 1, 0.618291, 0.948154
0.72, 1, 0.62159, 0.944194
0.73, 1, 0.624816, 0.940344
0.74, 1, 0.627971, 0.936601
0.75, 1, 0.631057, 0.932963
0.76, 1, 0.634076, 0.929427
0.77, 1, 0.63703, 0.92599
0.78, 1, 0.639919, 0.92265
0.79, 1, 0.642747, 0.919405
0.8, 1, 0.645513, 0.916251
0.81, 1, 0.648221, 0.913188
0.82, 1, 0.65087, 0.910211
0.83, 1, 0.653464, 0.907319
0.84, 1, 0.656002, 0.904511
0.85, 1, 0.658487, 0.901783
0.86, 1, 0.66092, 0.899134
0.87, 1, 0.663302, 0.896561
0.88, 1, 0.665635, 0.894063
0.89, 1, 0.667919, 0.891638
0.9, 1, 0.670156, 0.889284
0.91, 1, 0.672348, 0.886999
0.92, 1, 0.674494, 0.884781
0.93, 1, 0.676597, 0.882629
0.94, 1, 0.678657, 0.88054
0.95, 1, 0.680676, 0.878514
0.96, 1, 0.682655, 0.876549
0.97, 1, 0.684594, 0.874642
0.98, 1, 0.686494, 0.872793
0.99, 1, 0.688357, 0.871
1, 1, 0.690183, 0.869262
1.01, 1, 0.691974, 0.867577
1.02, 1, 0.69373, 0.865944
1.03, 1, 0.695452, 0.864361
1.04, 1, 0.697142, 0.862828
1.05, 1, 0.698798, 0.861343
1.06, 1, 0.700424, 0.859904
1.07, 1, 0.702019, 0.858511
1.08, 1, 0.703584, 0.857162
1.09, 1, 0.705119, 0.855856
1.1, 1, 0.706627, 0.854592
1.11, 1, 0.708106, 0.853369
1.12, 1, 0.709559, 0.852187
1.13, 1, 0.710985, 0.851043
1.14, 1, 0.712386, 0.849937
1.15, 1, 0.713761, 0.848867
1.16, 1, 0.715112, 0.847834
1.17, 1, 0.71644, 0.846836
1.18, 1, 0.717744, 0.845872
1.19, 1, 0.719025, 0.844941
1.2, 1, 0.720284, 0.844042
1.21, 1, 0.721522, 0.843175
1.22, 1, 0.722738, 0.842339
1.23, 1, 0.723934, 0.841533
1.24, 1, 0.72511, 0.840755
1.25, 1, 0.726267, 0.840007
1.26, 1, 0.727404, 0.839285
1.27, 1, 0.728523, 0.838591
1.28, 1, 0.729623, 0.837923
1.29, 1, 0.730706, 0.83728
1.3, 1, 0.731772, 0.836662
1.31, 1, 0.732821, 0.836069
1.32, 1, 0.733854, 0.835499
1.33, 1, 0.73487, 0.834952
1.34, 1, 0.735871, 0.834427
1.35, 1, 0.736856, 0.833924
1.36, 1, 0.737827, 0.833443
1.37, 1, 0.738783, 0.832982
1.38, 1, 0.739725, 0.832541
1.39, 1, 0.740653, 0.832119
1.4, 1, 0.741568, 0.831717
1.41, 1, 0.74247, 0.831334
1.42, 1, 0.743358, 0.830968
1.43, 1, 0.744234, 0.83062
1.44, 1, 0.745098, 0.830289
1.45, 1, 0.74595, 0.829975
1.46, 1, 0.74679, 0.829677
1.47, 1, 0.747619, 0.829395
1.48, 1, 0.748437, 0.829129
1.49, 1, 0.749244, 0.828877
1.5, 1, 0.75004, 0.82864
1.51, 1, 0.750826, 0.828417
1.52, 1, 0.751602, 0.828208
1.53, 1, 0.752368, 0.828013
1.54, 1, 0.753125, 0.82783
1.55, 1, 0.753872, 0.827661
1.56, 1, 0.75461, 0.827504
1.57, 1, 0.755339, 0.827359
1.58, 1, 0.756059, 0.827225
1.59, 1, 0.75677, 0.827104
1.6, 1, 0.757474, 0.826993
1.61, 1, 0.758169, 0.826893
1.62, 1, 0.758856, 0.826804
1.63, 1, 0.759536, 0.826725
1.64, 1, 0.760208, 0.826656
1.65, 1, 0.760872, 0.826597
1.66, 1, 0.761529, 0.826547
1.67, 1, 0.762179, 0.826506
1.68, 1, 0.762823, 0.826475
1.69, 1, 0.763459, 0.826452
1.7, 1, 0.764089, 0.826437
1.71, 1, 0.764713, 0.826431
1.72, 1, 0.76533, 0.826433
1.73, 1, 0.765941, 0.826443
1.74, 1, 0.766546, 0.82646
1.75, 1, 0.767145, 0.826485
1.76, 1, 0.767738, 0.826517
1.77, 1, 0.768326, 0.826556
1.78, 1, 0.768908, 0.826602
1.79, 1, 0.769485, 0.826654
1.8, 1, 0.770057, 0.826713
1.81, 1, 0.770624, 0.826778
1.82, 1, 0.771185, 0.826849
1.83, 1, 0.771742, 0.826926
1.84, 1, 0.772294, 0.827009
1.85, 1, 0.772841, 0.827097
1.86, 1, 0.773383, 0.827191
1.87, 1, 0.773921, 0.82729
1.88, 1, 0.774455, 0.827395
1.89, 1, 0.774985, 0.827504
1.9, 1, 0.77551, 0.827618
1.91, 1, 0.776031, 0.827737
1.92, 1, 0.776548, 0.82786
1.93, 1, 0.777061, 0.827988
1.94, 1, 0.77757, 0.82812
1.95, 1, 0.778076, 0.828256
1.96, 1, 0.778578, 0.828397
1.97, 1, 0.779076, 0.828541
1.98, 1, 0.77957, 0.828689
1.99, 1, 0.780062, 0.828841
2, 1, 0.780549, 0.828997
2.01, 1, 0.781034, 0.829156
2.02, 1, 0.781515, 0.829319
2.03, 1, 0.781993, 0.829484
2.04, 1, 0.782468, 0.829653
2.05, 1, 0.78294, 0.829826
2.06, 1, 0.783409, 0.830001
2.07, 1, 0.783875, 0.830179
2.08, 1, 0.784338, 0.83036
2.09, 1, 0.784798, 0.830544
2.1, 1, 0.785255, 0.83073
2.11, 1, 0.78571, 0.830919
2.12, 1, 0.786162, 0.831111
2.13, 1, 0.786612, 0.831305
2.14, 1, 0.787059, 0.831501
2.15, 1, 0.787503, 0.8317
2.16, 1, 0.787945, 0.831901
2.17, 1, 0.788385, 0.832104
2.18, 1, 0.788822, 0.832309
2.19, 1, 0.789257, 0.832516
2.2, 1, 0.789689, 0.832725
2.21, 1, 0.79012, 0.832936
2.22, 1, 0.790548, 0.833149
2.23, 1, 0.790974, 0.833364
2.24, 1, 0.791398, 0.83358
2.25, 1, 0.79182, 0.833798
